date,open,high,low,close,adjClose,volume,dividend,split
2004-08-19,100.01,104.06,95.96,100.335,2.49711967755337,44659000,0.0,1.0
2004-08-20,101.01,109.08,100.5,108.31,2.69560006254852,22834300,0.0,1.0
2004-08-23,110.76,113.48,109.05,109.4,2.72272778914974,18256100,0.0,1.0
2004-08-24,111.24,111.6,103.57,104.87,2.60998595290798,15247300,0.0,1.0
2004-08-25,104.76,108.0,103.88,106.0,2.63810919241199,9188600,0.0,1.0
2004-08-26,104.95,107.95,104.66,107.91,2.68564493352055,7094800,0.0,1.0
2004-08-27,108.1,108.62,105.69,106.15,2.64184236579748,6211700,0.0,1.0
2004-08-30,105.28,105.49,102.01,102.01,2.53880678035799,5196700,0.0,1.0
2004-08-31,102.32,103.71,102.16,102.37,2.54776639648317,4917800,0.0,1.0
2004-09-01,102.7,102.97,99.67,100.25,2.49500421263493,9138200,0.0,1.0
2004-09-02,99.09,102.37,98.94,101.51,2.52636286907303,15118600,0.0,1.0
2004-09-03,100.95,101.74,99.32,100.01,2.48903113521815,5152400,0.0,1.0
2004-09-07,101.01,102.0,99.61,101.58,2.52810501665293,5847500,0.0,1.0
2004-09-08,100.74,103.03,100.5,102.3,2.54602424890327,4985600,0.0,1.0
2004-09-09,102.5,102.71,101.0,102.31,2.54627312712897,4061700,0.0,1.0
2004-09-10,101.47,106.56,101.3,105.33,2.62143435129014,8698800,0.0,1.0
2004-09-13,106.63,108.41,106.46,107.5,2.67544092626688,7844100,0.0,1.0
2004-09-14,107.44,112.0,106.79,111.49,2.77474333832088,10828900,0.0,1.0
2004-09-15,110.56,114.23,110.2,112.0,2.78743612783154,10713000,0.0,1.0
2004-09-16,112.34,115.8,111.65,113.97,2.83646513829429,9266300,0.0,1.0
2004-09-17,114.42,117.49,113.55,117.49,2.92407027374042,9472500,0.0,1.0
2004-09-20,116.95,121.6,116.77,119.36,2.97061050194618,10628700,0.0,1.0
2004-09-21,120.2,120.42,117.51,117.84,2.9327810116399,7228700,0.0,1.0
2004-09-22,117.45,119.67,116.81,118.38,2.94622043582766,7581200,0.0,1.0
2004-09-23,118.84,122.63,117.02,120.82,3.00694672289827,8535600,0.0,1.0
2004-09-24,120.97,124.1,119.76,119.83,2.98230777855405,9123400,0.0,1.0
2004-09-27,119.56,120.88,117.8,118.26,2.94323389711927,7066100,0.0,1.0
2004-09-28,121.15,127.4,120.21,126.86,3.15726917122062,16929000,0.0,1.0
2004-09-29,126.53,135.02,126.23,131.08,3.2622957824657,30516400,0.0,1.0
2004-09-30,129.899,132.3,129.0,129.6,3.22546180506221,13758000,0.0,1.0
2004-10-01,130.8,134.24,128.9,132.58,3.29962751632059,15124800,0.0,1.0
2004-10-04,135.275,136.87,134.03,135.06,3.361349316294,13022700,0.0,1.0
2004-10-05,134.66,138.53,132.24,138.37,3.44372800900045,14973200,0.0,1.0
2004-10-06,137.67,138.45,136.0,137.08,3.41162271788525,13381400,0.0,1.0
2004-10-07,136.56,139.88,136.55,138.85,3.45567416383401,14115000,0.0,1.0
2004-10-08,138.73,139.68,137.02,137.73,3.4277998025557,11069500,0.0,1.0
2004-10-11,137.01,138.86,133.85,135.26,3.36632688080798,10472100,0.0,1.0
2004-10-12,134.49,137.61,133.4,137.4,3.41958682110762,11665500,0.0,1.0
2004-10-13,143.24,143.55,140.08,140.9,3.50669420010236,19766200,0.0,1.0
2004-10-14,141.02,142.38,138.56,142.0,3.53407080492927,10442100,0.0,1.0
2004-10-15,144.95,145.5,141.95,144.11,3.58658411055181,13194700,0.0,1.0
2004-10-18,143.12,149.2,141.21,149.16,3.71226761452993,14036300,0.0,1.0
2004-10-19,150.5,152.4,147.35,147.94,3.68190447099462,18109800,0.0,1.0
2004-10-20,147.94,148.99,139.6,140.49,3.49649019284869,22722600,0.0,1.0
2004-10-21,144.13,150.13,141.62,149.38,3.71774293549532,29149800,0.0,1.0
2004-10-22,170.435,180.17,164.08,172.43,4.29140724573208,73710000,0.0,1.0
2004-10-25,176.28,194.43,172.55,187.4,4.66397794960384,65462800,0.0,1.0
2004-10-26,186.449,192.64,180.0,181.8,4.52460614321227,44569500,0.0,1.0
2004-10-27,182.509,189.52,181.77,185.97,4.62838836332885,26686200,0.0,1.0
2004-10-28,186.63,194.39,185.6,193.3,4.8108161027664,29663900,0.0,1.0
2004-10-29,198.87,199.95,190.6,190.64,4.7446144947304,42282600,0.0,1.0
2004-11-01,193.5,197.67,191.27,196.03,4.87875985838229,24425300,0.0,1.0
2004-11-02,198.73,199.25,193.34,194.87,4.84988998420118,22669900,0.0,1.0
2004-11-03,198.19,201.6,190.75,191.67,4.77024895197742,27749600,0.0,1.0
2004-11-04,188.25,190.4,183.35,184.7,4.59678082866505,28790300,0.0,1.0
2004-11-05,182.0,182.3,168.55,169.35,4.21475275221671,39626500,0.0,1.0
2004-11-08,170.86,175.44,169.4,172.55,4.29439378444047,22361200,0.0,1.0
2004-11-09,174.1,175.2,165.27,168.7,4.19857566754626,22106200,0.0,1.0
2004-11-10,170.67,172.52,166.33,167.86,4.17766989658752,21266700,0.0,1.0
2004-11-11,169.32,183.75,167.57,183.02,4.55496928674757,29941000,0.0,1.0
2004-11-12,185.23,189.8,177.4,182.0,4.52958370772625,33458700,0.0,1.0
2004-11-15,180.45,188.32,178.75,184.87,4.60101175850193,23779100,0.0,1.0
